city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Mohammedia,33.6833,-7.3833,2026-09-23,30.5,19.4,0.0,0,16.9,31.0,45
Mohammedia,33.6833,-7.3833,2026-09-24,30.9,18.5,0.0,0,15.8,32.8,45
Kouribga,32.88,-6.9,2026-09-18,29.7,15.0,0.0,0,19.6,37.4,3
Kouribga,32.88,-6.9,2026-09-19,34.2,18.5,0.0,0,20.7,42.8,2
Kouribga,32.88,-6.9,2026-09-20,34.4,21.5,0.4,15,21.4,41.0,80
Kouribga,32.88,-6.9,2026-09-21,33.4,21.2,0.6,0,17.5,40.0,2
Kouribga,32.88,-6.9,2026-09-22,33.7,21.1,0.0,0,17.1,32.0,2
Kouribga,32.88,-6.9,2026-09-23,34.0,17.7,0.0,0,18.7,40.7,1
Kouribga,32.88,-6.9,2026-09-24,34.0,17.6,0.0,0,15.5,40.3,0
Settat,33.0023,-7.6198,2026-09-18,29.4,15.9,0.0,0,18.5,39.2,3
Settat,33.0023,-7.6198,2026-09-19,34.1,17.6,0.0,0,16.3,34.9,2
Settat,33.0023,-7.6198,2026-09-20,36.0,20.6,0.0,0,18.2,38.2,2
Settat,33.0023,-7.6198,2026-09-21,36.4,22.0,0.0,0,15.8,37.1,2
Settat,33.0023,-7.6198,2026-09-22,35.7,19.9,0.0,0,14.8,36.4,1
Settat,33.0023,-7.6198,2026-09-23,34.4,17.7,0.0,0,18.4,35.6,0
Settat,33.0023,-7.6198,2026-09-24,33.4,18.7,0.0,0,15.6,38.2,0
Barrechid,33.27,-7.5872,2026-09-18,29.0,15.8,0.0,0,19.1,34.9,3
Barrechid,33.27,-7.5872,2026-09-19,33.4,17.1,0.0,0,17.4,31.7,2
Barrechid,33.27,-7.5872,2026-09-20,36.2,18.9,0.0,0,19.9,36.0,2
Barrechid,33.27,-7.5872,2026-09-21,35.4,20.2,0.0,0,18.4,37.8,2
Barrechid,33.27,-7.5872,2026-09-22,35.3,19.2,0.0,0,17.3,32.8,1
Barrechid,33.27,-7.5872,2026-09-23,33.2,17.6,0.0,0,19.6,34.2,45
Barrechid,33.27,-7.5872,2026-09-24,32.4,18.7,0.0,0,17.0,37.8,45
Ad Dakhla,23.7167,-15.95,2026-09-18,21.3,20.5,0.0,0,35.9,44.6,0
Ad Dakhla,23.7167,-15.95,2026-09-19,21.2,19.9,0.0,0,29.2,36.4,0
Ad Dakhla,23.7167,-15.95,2026-09-20,21.6,19.5,0.0,0,28.2,34.9,0
Ad Dakhla,23.7167,-15.95,2026-09-21,21.6,20.3,0.0,14,29.6,37.1,0
Ad Dakhla,23.7167,-15.95,2026-09-22,22.0,20.4,0.0,18,31.3,40.0,0
Ad Dakhla,23.7167,-15.95,2026-09-23,22.1,20.2,0.0,4,29.0,38.2,0
Ad Dakhla,23.7167,-15.95,2026-09-24,23.0,20.5,0.0,8,22.9,35.6,3
Nador,35.1667,-2.9333,2026-09-18,25.2,21.8,1.6,3,16.0,36.0,80
Nador,35.1667,-2.9333,2026-09-19,25.2,22.8,5.9,5,20.9,50.4,80
Nador,35.1667,-2.9333,2026-09-20,25.7,23.1,7.5,15,24.3,51.5,95
Nador,35.1667,-2.9333,2026-09-21,26.0,23.2,0.0,3,15.5,37.1,3
Nador,35.1667,-2.9333,2026-09-22,25.9,21.7,0.0,0,13.5,30.2,2
Nador,35.1667,-2.9333,2026-09-23,27.1,19.7,0.0,0,15.5,27.7,45
Nador,35.1667,-2.9333,2026-09-24,27.9,16.2,0.0,0,13.2,26.6,45
Taza,34.2144,-4.0088,2026-09-18,29.2,17.4,0.0,0,18.8,39.2,2
Taza,34.2144,-4.0088,2026-09-19,29.3,19.3,0.0,3,23.8,50.0,3
Taza,34.2144,-4.0088,2026-09-20,30.2,20.8,0.0,0,19.4,41.8,3
Taza,34.2144,-4.0088,2026-09-21,28.8,20.6,0.0,0,19.8,41.4,3
Taza,34.2144,-4.0088,2026-09-22,29.7,17.6,0.0,0,17.6,37.4,1
Taza,34.2144,-4.0088,2026-09-23,32.2,18.0,0.0,0,17.0,31.3,2
Taza,34.2144,-4.0088,2026-09-24,33.7,17.9,0.0,0,18.3,33.1,0
