city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week
Barrechid,33.27,-7.5872,2026-09-24,32.4,18.7,0.0,0,17.0,37.8,45,High,None,Low,24,9,Thursday
Nador,35.1667,-2.9333,2026-09-18,25.2,21.8,1.6,3,16.0,36.0,80,Normal,Low,Low,18,9,Friday
Nador,35.1667,-2.9333,2026-09-19,25.2,22.8,5.9,5,20.9,50.4,80,Normal,Moderate,Moderate,19,9,Saturday
Nador,35.1667,-2.9333,2026-09-20,25.7,23.1,7.5,15,24.3,51.5,95,Normal,Moderate,Moderate,20,9,Sunday
Nador,35.1667,-2.9333,2026-09-21,26.0,23.2,0.0,3,15.5,37.1,3,Normal,None,Low,21,9,Monday
Nador,35.1667,-2.9333,2026-09-22,25.9,21.7,0.0,0,13.5,30.2,2,Normal,None,Low,22,9,Tuesday
Nador,35.1667,-2.9333,2026-09-23,27.1,19.7,0.0,0,15.5,27.7,45,Normal,None,Low,23,9,Wednesday
Nador,35.1667,-2.9333,2026-09-24,27.9,16.2,0.0,0,13.2,26.6,45,Normal,None,Low,24,9,Thursday
Taza,34.2144,-4.0088,2026-09-18,29.2,17.4,0.0,0,18.8,39.2,2,Normal,None,Low,18,9,Friday
Taza,34.2144,-4.0088,2026-09-19,29.3,19.3,0.0,3,23.8,50.0,3,Normal,None,Moderate,19,9,Saturday
Taza,34.2144,-4.0088,2026-09-20,30.2,20.8,0.0,0,19.4,41.8,3,High,None,Low,20,9,Sunday
Taza,34.2144,-4.0088,2026-09-21,28.8,20.6,0.0,0,19.8,41.4,3,Normal,None,Low,21,9,Monday
Taza,34.2144,-4.0088,2026-09-22,29.7,17.6,0.0,0,17.6,37.4,1,Normal,None,Low,22,9,Tuesday
Taza,34.2144,-4.0088,2026-09-23,32.2,18.0,0.0,0,17.0,31.3,2,High,None,Low,23,9,Wednesday
Taza,34.2144,-4.0088,2026-09-24,33.7,17.9,0.0,0,18.3,33.1,0,High,None,Low,24,9,Thursday
Inezgane,30.3658,-9.5381,2026-09-18,24.7,19.0,0.0,0,12.4,34.9,2,Normal,None,Low,18,9,Friday
Inezgane,30.3658,-9.5381,2026-09-19,24.7,19.8,0.0,0,15.1,40.7,45,Normal,None,Low,19,9,Saturday
Inezgane,30.3658,-9.5381,2026-09-20,25.6,19.6,0.0,0,13.7,39.2,45,Normal,None,Low,20,9,Sunday
