city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week,rain_risk,wind_risk,temperature_risk,probability_risk,risk_score,risk_level
Laâyoune,27.15,-13.2,2026-09-24,39.6,23.3,0.0,4,26.0,54.7,3,Very High,None,Moderate,24,9,Thursday,0,25,60,0,19.5,Faible
El Jadid,33.2566,-8.5025,2026-09-18,23.9,19.3,0.0,0,18.3,33.1,2,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
El Jadid,33.2566,-8.5025,2026-09-19,25.4,20.6,0.0,0,15.2,28.1,2,Normal,None,Low,19,9,Saturday,0,0,0,0,0.0,Faible
El Jadid,33.2566,-8.5025,2026-09-20,27.2,20.3,0.0,0,12.0,22.7,2,Normal,None,Low,20,9,Sunday,0,0,0,0,0.0,Faible
El Jadid,33.2566,-8.5025,2026-09-21,26.7,21.3,0.0,0,13.4,24.5,45,Normal,None,Low,21,9,Monday,0,0,0,0,0.0,Faible
El Jadid,33.2566,-8.5025,2026-09-22,26.4,20.8,0.0,0,11.8,22.0,45,Normal,None,Low,22,9,Tuesday,0,0,0,0,0.0,Faible
El Jadid,33.2566,-8.5025,2026-09-23,27.1,19.9,0.0,0,13.7,29.2,45,Normal,None,Low,23,9,Wednesday,0,0,0,0,0.0,Faible
El Jadid,33.2566,-8.5025,2026-09-24,27.4,19.9,0.0,0,11.8,29.2,45,Normal,None,Low,24,9,Thursday,0,0,0,0,0.0,Faible
Ait Melloul,30.3342,-9.4972,2026-09-18,26.0,19.3,0.0,0,17.6,35.3,3,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Ait Melloul,30.3342,-9.4972,2026-09-19,26.0,20.1,0.0,0,20.3,40.3,2,Normal,None,Moderate,19,9,Saturday,0,25,0,0,7.5,Faible
Ait Melloul,30.3342,-9.4972,2026-09-20,26.6,20.0,0.0,0,18.4,36.4,45,Normal,None,Low,20,9,Sunday,0,0,0,0,0.0,Faible
Ait Melloul,30.3342,-9.4972,2026-09-21,33.1,21.2,0.0,0,14.6,31.0,3,High,None,Low,21,9,Monday,0,0,30,0,6.0,Faible
Ait Melloul,30.3342,-9.4972,2026-09-22,32.0,21.1,0.0,0,17.7,36.4,0,High,None,Low,22,9,Tuesday,0,0,30,0,6.0,Faible
Ait Melloul,30.3342,-9.4972,2026-09-23,35.8,20.3,0.0,0,13.2,28.4,1,Very High,None,Low,23,9,Wednesday,0,0,60,0,12.0,Faible
